"Statistic","CensusYear","Age Group","County and City","Socio Economic Group","Labour Force","UNIT","VALUE"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","B. Higher professional","All persons aged 15 years and over","Number","1678"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","B. Higher professional","Persons at work","Number","1056"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","B. Higher professional","All unemployed persons","Number","96"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","B. Higher professional","All persons aged 15 years and over not in labour force","Number","526"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","C. Lower professional","All persons aged 15 years and over","Number","4266"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","C. Lower professional","Persons at work","Number","2661"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","C. Lower professional","All unemployed persons","Number","194"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","C. Lower professional","All persons aged 15 years and over not in labour force","Number","1411"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","D. Non-manual","All persons aged 15 years and over","Number","7795"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","D. Non-manual","Persons at work","Number","4841"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","D. Non-manual","All unemployed persons","Number","865"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","D. Non-manual","All persons aged 15 years and over not in labour force","Number","2089"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","E. Manual skilled","All persons aged 15 years and over","Number","4562"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","E. Manual skilled","Persons at work","Number","1967"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","E. Manual skilled","All unemployed persons","Number","1018"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","1577"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","F. Semi-skilled","All persons aged 15 years and over","Number","3855"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","F. Semi-skilled","Persons at work","Number","2101"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","F. Semi-skilled","All unemployed persons","Number","600"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","1154"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","G. Unskilled","All persons aged 15 years and over","Number","1664"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","G. Unskilled","Persons at work","Number","597"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","G. Unskilled","All unemployed persons","Number","351"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","G. Unskilled","All persons aged 15 years and over not in labour force","Number","716"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","H. Own account workers","All persons aged 15 years and over","Number","1832"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","H. Own account workers","Persons at work","Number","987"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","H. Own account workers","All unemployed persons","Number","244"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","H. Own account workers","All persons aged 15 years and over not in labour force","Number","601"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","I. Farmers","All persons aged 15 years and over","Number","2078"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","I. Farmers","Persons at work","Number","1139"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","I. Farmers","All unemployed persons","Number","39"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","I. Farmers","All persons aged 15 years and over not in labour force","Number","900"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","J. Agricultural workers","All persons aged 15 years and over","Number","461"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","J. Agricultural workers","Persons at work","Number","214"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","J. Agricultural workers","All unemployed persons","Number","51"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","196"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","9282"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","Z. All others gainfully occupied and unknown","Persons at work","Number","1140"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","Z. All others gainfully occupied and unknown","All unemployed persons","Number","2069"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","6073"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","All socio-economic groups","All persons aged 15 years and over","Number","447583"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","All socio-economic groups","Persons at work","Number","227429"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","All socio-economic groups","All unemployed persons","Number","51699"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","168455"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","A. Employers and managers","All persons aged 15 years and over","Number","58269"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","A. Employers and managers","Persons at work","Number","37879"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","A. Employers and managers","All unemployed persons","Number","3260"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","17130"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","B. Higher professional","All persons aged 15 years and over","Number","35296"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","B. Higher professional","Persons at work","Number","26956"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","B. Higher professional","All unemployed persons","Number","1362"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","B. Higher professional","All persons aged 15 years and over not in labour force","Number","6978"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","C. Lower professional","All persons aged 15 years and over","Number","53053"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","C. Lower professional","Persons at work","Number","38544"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","C. Lower professional","All unemployed persons","Number","2821"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","C. Lower professional","All persons aged 15 years and over not in labour force","Number","11688"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","D. Non-manual","All persons aged 15 years and over","Number","96174"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","D. Non-manual","Persons at work","Number","62315"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","D. Non-manual","All unemployed persons","Number","9216"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","D. Non-manual","All persons aged 15 years and over not in labour force","Number","24643"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","E. Manual skilled","All persons aged 15 years and over","Number","33155"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","E. Manual skilled","Persons at work","Number","12132"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","E. Manual skilled","All unemployed persons","Number","6900"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","14123"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","F. Semi-skilled","All persons aged 15 years and over","Number","33753"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","F. Semi-skilled","Persons at work","Number","17077"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","F. Semi-skilled","All unemployed persons","Number","4609"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","12067"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","G. Unskilled","All persons aged 15 years and over","Number","19556"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","G. Unskilled","Persons at work","Number","8572"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","G. Unskilled","All unemployed persons","Number","3258"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","G. Unskilled","All persons aged 15 years and over not in labour force","Number","7726"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","H. Own account workers","All persons aged 15 years and over","Number","14517"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","H. Own account workers","Persons at work","Number","8813"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","H. Own account workers","All unemployed persons","Number","1466"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","H. Own account workers","All persons aged 15 years and over not in labour force","Number","4238"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","I. Farmers","All persons aged 15 years and over","Number","338"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","I. Farmers","Persons at work","Number","170"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","I. Farmers","All unemployed persons","Number","27"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","I. Farmers","All persons aged 15 years and over not in labour force","Number","141"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","J. Agricultural workers","All persons aged 15 years and over","Number","331"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","J. Agricultural workers","Persons at work","Number","145"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","J. Agricultural workers","All unemployed persons","Number","62"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","124"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","103141"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","Z. All others gainfully occupied and unknown","Persons at work","Number","14826"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","Z. All others gainfully occupied and unknown","All unemployed persons","Number","18718"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dublin City","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","69597"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","All socio-economic groups","All persons aged 15 years and over","Number","168726"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","All socio-economic groups","Persons at work","Number","87490"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","All socio-economic groups","All unemployed persons","Number","11071"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","70165"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","A. Employers and managers","All persons aged 15 years and over","Number","39613"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","A. Employers and managers","Persons at work","Number","21539"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","A. Employers and managers","All unemployed persons","Number","1528"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","16546"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","B. Higher professional","All persons aged 15 years and over","Number","22024"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","B. Higher professional","Persons at work","Number","13741"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","B. Higher professional","All unemployed persons","Number","634"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","B. Higher professional","All persons aged 15 years and over not in labour force","Number","7649"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","C. Lower professional","All persons aged 15 years and over","Number","26409"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","C. Lower professional","Persons at work","Number","16753"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","C. Lower professional","All unemployed persons","Number","991"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","C. Lower professional","All persons aged 15 years and over not in labour force","Number","8665"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","D. Non-manual","All persons aged 15 years and over","Number","33241"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","D. Non-manual","Persons at work","Number","20331"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","D. Non-manual","All unemployed persons","Number","2371"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","D. Non-manual","All persons aged 15 years and over not in labour force","Number","10539"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","E. Manual skilled","All persons aged 15 years and over","Number","6956"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","E. Manual skilled","Persons at work","Number","2916"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","E. Manual skilled","All unemployed persons","Number","1179"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","2861"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","F. Semi-skilled","All persons aged 15 years and over","Number","6773"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","F. Semi-skilled","Persons at work","Number","3700"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","F. Semi-skilled","All unemployed persons","Number","691"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","2382"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","G. Unskilled","All persons aged 15 years and over","Number","2988"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","G. Unskilled","Persons at work","Number","1324"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","G. Unskilled","All unemployed persons","Number","468"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","G. Unskilled","All persons aged 15 years and over not in labour force","Number","1196"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","H. Own account workers","All persons aged 15 years and over","Number","6800"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","H. Own account workers","Persons at work","Number","4236"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","H. Own account workers","All unemployed persons","Number","498"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","H. Own account workers","All persons aged 15 years and over not in labour force","Number","2066"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","I. Farmers","All persons aged 15 years and over","Number","258"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","I. Farmers","Persons at work","Number","126"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","I. Farmers","All unemployed persons","Number","8"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","I. Farmers","All persons aged 15 years and over not in labour force","Number","124"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","J. Agricultural workers","All persons aged 15 years and over","Number","123"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","J. Agricultural workers","Persons at work","Number","65"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","J. Agricultural workers","All unemployed persons","Number","19"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","39"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","23541"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","Z. All others gainfully occupied and unknown","Persons at work","Number","2759"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","Z. All others gainfully occupied and unknown","All unemployed persons","Number","2684"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Dún Laoghaire-Rathdown","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","18098"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","All socio-economic groups","All persons aged 15 years and over","Number","207584"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","All socio-economic groups","Persons at work","Number","119276"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","All socio-economic groups","All unemployed persons","Number","22640"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","65668"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","A. Employers and managers","All persons aged 15 years and over","Number","37980"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","A. Employers and managers","Persons at work","Number","23054"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","A. Employers and managers","All unemployed persons","Number","2150"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","12776"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","B. Higher professional","All persons aged 15 years and over","Number","14562"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","B. Higher professional","Persons at work","Number","9858"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","B. Higher professional","All unemployed persons","Number","631"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","B. Higher professional","All persons aged 15 years and over not in labour force","Number","4073"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","C. Lower professional","All persons aged 15 years and over","Number","27693"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","C. Lower professional","Persons at work","Number","19114"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","C. Lower professional","All unemployed persons","Number","1252"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","C. Lower professional","All persons aged 15 years and over not in labour force","Number","7327"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","D. Non-manual","All persons aged 15 years and over","Number","48416"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","D. Non-manual","Persons at work","Number","33550"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","D. Non-manual","All unemployed persons","Number","4213"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","D. Non-manual","All persons aged 15 years and over not in labour force","Number","10653"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","E. Manual skilled","All persons aged 15 years and over","Number","16182"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","E. Manual skilled","Persons at work","Number","8255"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","E. Manual skilled","All unemployed persons","Number","3123"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","4804"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","F. Semi-skilled","All persons aged 15 years and over","Number","14879"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Fingal","F. Semi-skilled","Persons at work","Number","9603"
